"AHA_ID","Medicare_Provider_ID","Hospital_Name","System_member","System_ID","System_Name","Admissions_2011","HMA_Member","HMA_System_Name","HCAHPS.Answer.Percent.2011"
"6050010",480001,"Schneider Regional Medical Center",NA,NA,NA,4293,NA,NA,70
"6110003",200021,"Mid Coast Hospital",NA,NA,NA,4791,NA,NA,72
"6110008",200008,"Mercy Hospital of Portland","Y","5990136","Catholic Health East",7714,NA,NA,69
"6110050",200033,"Eastern Maine Medical Center","Y","5990555","Eastern Maine Healthcare Systems",19302,NA,NA,69
"6110070",200001,"St. Joseph Hospital","Y","5995885","Covenant Health Systems, Inc.",5858,NA,NA,67
"6110090",201304,"Mount Desert Island Hospital",NA,NA,NA,1010,NA,NA,77
"6110120",201312,"Waldo County General Hospital","Y","5990614","MaineHealth",1625,NA,NA,69
"6110140",200019,"Southern Maine Medical Center","Y","5990614","MaineHealth",5888,NA,NA,67
"6110150",201300,"Blue Hill Memorial Hospital","Y","5990555","Eastern Maine Healthcare Systems",874,NA,NA,77
"6110160",201302,"St. Andrews Hospital and Healthcare Center","Y","5990614","MaineHealth",356,NA,NA,81
"6110167",201310,"Bridgton Hospital",NA,NA,NA,1204,NA,NA,73
"6110173",200025,"Parkview Adventist Medical Center",NA,NA,NA,1037,NA,NA,75
"6110180",201305,"Calais Regional Hospital","Y","5990002","QHR",985,NA,NA,79
"6110200",200031,"Cary Medical Center","Y","5990002","QHR",1726,NA,NA,76
"6110220",200002,"Miles Memorial Hospital","Y","5990614","MaineHealth",1646,NA,NA,75
"6110240",201309,"Mayo Regional Hospital",NA,NA,NA,1117,NA,NA,75
"6110260",200050,"Maine Coast Memorial Hospital",NA,NA,NA,3010,NA,NA,77
"6110280",200037,"Franklin Memorial Hospital",NA,NA,NA,2854,NA,NA,72
"6110290",200052,"Northern Maine Medical Center",NA,NA,NA,1642,NA,NA,72
"6110310",201301,"Charles A. Dean Memorial Hospital","Y","5990555","Eastern Maine Healthcare Systems",471,NA,NA,83
"6110330",201308,"Houlton Regional Hospital",NA,NA,NA,1503,NA,NA,74
"6110370",200024,"Central Maine Medical Center",NA,NA,NA,9854,NA,NA,70
"6110380",200034,"St. Mary's Regional Medical Center","Y","5995885","Covenant Health Systems, Inc.",6507,NA,NA,64
"6110386",201311,"Down East Community Hospital",NA,NA,NA,942,NA,NA,71
"6110387",201307,"Millinocket Regional Hospital",NA,NA,NA,989,NA,NA,85
"6110390",201315,"Stephens Memorial Hospital","Y","5990614","MaineHealth",1715,NA,NA,72
"6110395",201303,"Penobscot Valley Hospital","Y","5990002","QHR",979,NA,NA,73
"6110410",201313,"Sebasticook Valley Health","Y","5990555","Eastern Maine Healthcare Systems",912,NA,NA,75
"6110430",200009,"Maine Medical Center","Y","5990614","MaineHealth",28451,NA,NA,68
"6110480",200018,"Aroostook Medical Center","Y","5990555","Eastern Maine Healthcare Systems",2229,NA,NA,65
"6110505",200063,"Pen Bay Medical Center","Y","5990614","MaineHealth",4443,NA,NA,74
