"Year","AHA ID","Medicare Provider ID","Hospital Name","Address 1 (physical)","City Name (physical)","State (physical)","Zip code (physical)","NPI number","Control / Ownership Type","Beginning of reporting period","Days open during reporting period","End of reporting period","Open 12 full months before end of reporting period","System member","System ID","System Name","System City","System State","System Zip","Admissions (est.)","Admissions",
"2016","6030010","","Kwajalein Hospital","U S Army Kwajalein Atoll","Kwajalein Island","Marshall Islands","96960","","Govt. (federal) - Army","","0","","","Y","5999395","Department of the Army, Office of the Surgeon General","Falls Church","VA","22041-3215","Estimated","381",
"2016","6040001","400115","Wilma N. Vazquez Medical Center","KM 39 1/2 Road 2, Call Box 7001","Vega Baja","Puerto Rico","00694","1154309169","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","4194",
"2016","6040002","400098","Hospital San Francisco","371 Avenida De Diego","San Juan","Puerto Rico","00923-1711","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548","Reported","5890",
"2016","6040004","400120","HIMA San Pablo Caguas","Avenida Munoz Marin","Caguas","Puerto Rico","00726","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","16717",
"2016","6040005","400079","Hospital Buen Samaritano","Carr #2 Km 141-1 Ave Severiano Cuevas","Aguadilla","Puerto Rico","00603","","Nongovt. (not-for-profit) - Other","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","5837",
"2016","6040006","400124","Cardiovascular Center of Puerto Rico and the Caribbean","Americo Miranda Centro Medico","San Juan","Puerto Rico","00936","","Govt. (non federal) - State","7/1/2015","366","6/30/2016","Y","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936","Reported","3922",
"2016","6040007","400114","Hospital Manati Medical Center","Calle Hernandez, Carrion 668","Manati","Puerto Rico","00674","1376605170","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","13956",
"2016","6040008","400126","Hospital Metropolitano San German","Calle Javilla Al Costado Parque de Bombas","San German","Puerto Rico","00683","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","3072",
"2016","6040009","403025","HEALTHSOUTH Rehabilitation Hospital of San Juan","University Hospital, 3rd Floor","San Juan","Puerto Rico","00923","1831440106","Investor-owned; for-profit - Corporation","","0","","","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243-3332","Estimated","850",
"2016","6040011","400111","Hospital San Carlos Borromeo","550 Concepcion Vera Ayala","Moca","Puerto Rico","00676","1104856889","Nongovt. (not-for-profit) - Other","","0","","","","","","","","","Estimated","4163",
"2016","6040012","400113","Hospital San Cristobal","506 Carr Road","Coto Laurel","Puerto Rico","00780","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","6062",
"2016","6040020","400087","Hospital Pavia Arecibo","129 San Luis Avenue","Arecibo","Puerto Rico","00612","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","8445",
"2016","6040030","400117","Hospital Metropolitano Dr. Susoni","Calle Palma #55","Arecibo","Puerto Rico","00612","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","7045",
"2016","6040050","400061","University Hospital","Nineyas 869 Rio Piedras","San Juan","Puerto Rico","00922","","Govt. (non federal) - State","","0","","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936","Estimated","8345",
"2016","6040054","400032","Hospital Hermanos Melendez","Route 2, KM 11-7","Bayamon","Puerto Rico","00960","","Investor-owned; for-profit - Corporation","","0","","","","","","","","","Estimated","12510",
"2016","6040055","400109","Hospital San Pablo","Calle Santa Cruz 70","Bayamon","Puerto Rico","00961-7020","","Investor-owned; for-profit - Corporation","1/1/2016","366","12/31/2016","Y","","","","","","","Reported","15727",
